TMRCA	Mean  = 2.046000	Stdev = 1.133527	95%CI = 0.500000 5.000000
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	7601.117000	7525.105902	-nan	-nan
2	6894.143000	13512.520543	-nan	-nan
3	7153.386000	20816.353874	-nan	-nan
4	6762.781000	25969.078460	-nan	-nan
5	6241.806000	29648.578500	-nan	-nan
6	5694.333000	32116.037360	-nan	-nan
7	5265.585000	34278.959555	-nan	-nan
8	4855.900000	35739.424648	-nan	-nan
9	5046.861000	41333.789472	-nan	-nan
10	4311.015000	38799.135000	-nan	-nan
11	5905.259000	57812.485385	-nan	-nan
12	4761.561000	50282.086158	-nan	-nan
13	4173.866000	47206.426211	-nan	-nan
14	4878.677000	58739.270894	-nan	-nan
15	4592.907000	58559.564250	-nan	-nan
16	3356.111000	45106.130432	-nan	-nan
17	3649.489000	51494.288537	-nan	-nan
18	3562.416000	52581.260975	-nan	-nan
19	3523.929000	54233.268520	-nan	-nan
20	2945.988000	47135.808000	-nan	-nan
21	3148.448000	52232.752800	-nan	-nan
22	2231.527000	38293.002979	-nan	-nan
23	2591.951000	45903.449837	-nan	-nan
24	2747.681000	50117.700811	-nan	-nan
25	2033.089000	38120.418750	-nan	-nan
26	1865.178000	35886.024293	-nan	-nan
27	2494.263000	49161.921446	-nan	-nan
28	2138.658000	43115.344954	-nan	-nan
29	2665.833000	54889.501877	-nan	-nan
30	2685.429000	56394.009000	-nan	-nan
31	1992.818000	42626.375804	-nan	-nan
32	2488.308000	54145.582650	-nan	-nan
33	2098.370000	46394.961981	-nan	-nan
34	1942.487000	43589.409317	-nan	-nan
35	1926.883000	43836.588250	-nan	-nan
36	1615.011000	37209.854919	-nan	-nan
37	2046.357000	47700.580577	-nan	-nan
38	1595.477000	37589.437268	-nan	-nan
39	1457.221000	34667.288924	-nan	-nan
40	1488.873000	35732.952000	-nan	-nan
41	1990.765000	48156.606413	-nan	-nan
42	2110.572000	51413.535208	-nan	-nan
43	1800.571000	44131.995622	-nan	-nan
44	1614.344000	39777.435175	-nan	-nan
45	1791.992000	44351.802000	-nan	-nan
46	1624.564000	40354.170008	-nan	-nan
47	1701.362000	42380.927160	-nan	-nan
48	1479.501000	36928.343605	-nan	-nan
49	1322.417000	33047.200527	-nan	-nan
50	797.424000	39871.200000	-nan	-nan
