TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.736844 13.886110
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	38910.048000	38520.947891	-nan	-nan
2	21111.752000	41379.034725	-nan	-nan
3	14353.419000	41768.450522	-nan	-nan
4	10467.428000	40194.922622	-nan	-nan
5	8427.689000	40031.522750	-nan	-nan
6	7776.521000	43859.577402	-nan	-nan
7	7200.189000	46873.232038	-nan	-nan
8	5523.602000	40653.711457	-nan	-nan
9	5692.774000	46623.816671	-nan	-nan
10	4608.575000	41477.175000	-nan	-nan
11	4748.493000	46487.746289	-nan	-nan
12	5521.804000	58310.252557	-nan	-nan
13	5710.062000	64580.803616	-nan	-nan
14	3170.176000	38168.918919	-nan	-nan
15	2955.852000	37687.113000	-nan	-nan
16	2719.640000	36551.960459	-nan	-nan
17	3364.939000	47479.288135	-nan	-nan
18	2487.992000	36722.762489	-nan	-nan
19	2466.135000	37953.818497	-nan	-nan
20	3244.357000	51909.712000	-nan	-nan
21	2980.111000	49440.041945	-nan	-nan
22	2273.172000	39007.631173	-nan	-nan
23	3018.598000	53459.367816	-nan	-nan
24	2515.471000	45882.190464	-nan	-nan
25	3536.068000	66301.275000	-nan	-nan
26	3599.743000	69259.054496	-nan	-nan
27	2457.900000	48445.206750	-nan	-nan
28	2733.612000	55109.617503	-nan	-nan
29	1532.481000	31553.784024	-nan	-nan
30	1909.107000	40091.247000	-nan	-nan
31	3427.381000	73311.677498	-nan	-nan
32	1518.623000	33045.236828	-nan	-nan
33	2701.036000	59719.907609	-nan	-nan
34	2117.946000	47526.709371	-nan	-nan
35	2746.471000	62482.215250	-nan	-nan
36	2456.879000	56606.494409	-nan	-nan
37	2300.592000	53626.798291	-nan	-nan
38	2654.646000	62543.458342	-nan	-nan
39	3281.775000	78073.430255	-nan	-nan
40	2372.928000	56950.272000	-nan	-nan
41	1881.914000	45523.500665	-nan	-nan
42	2592.704000	63158.271022	-nan	-nan
43	1735.901000	42546.933907	-nan	-nan
44	2115.426000	52124.095349	-nan	-nan
45	1465.769000	36277.782750	-nan	-nan
46	2134.087000	53010.721406	-nan	-nan
47	1190.621000	29658.368928	-nan	-nan
48	1502.323000	37497.980705	-nan	-nan
49	2392.635000	59791.948102	-nan	-nan
50	1814.431000	90721.550000	-nan	-nan
