TMRCA	Mean  = nan	Stdev = nan	95%CI = nan 12.968772
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	32851.936000	32523.416953	-nan	-nan
2	17379.420000	34063.663863	-nan	-nan
3	13028.167000	37911.967088	-nan	-nan
4	9262.464000	35567.860965	-nan	-nan
5	8025.467000	38120.968250	-nan	-nan
6	7222.687000	40735.953716	-nan	-nan
7	5400.559000	35157.640326	-nan	-nan
8	4670.288000	34373.320304	-nan	-nan
9	4295.724000	35181.977757	-nan	-nan
10	3952.609000	35573.481000	-nan	-nan
11	4157.367000	40700.622771	-nan	-nan
12	4004.610000	42288.683280	-nan	-nan
13	5002.781000	56581.455209	-nan	-nan
14	3357.102000	40419.507952	-nan	-nan
15	3920.971000	49992.380250	-nan	-nan
16	2356.343000	31669.248931	-nan	-nan
17	3036.322000	42842.502378	-nan	-nan
18	2116.398000	31238.034964	-nan	-nan
19	3400.278000	52330.279587	-nan	-nan
20	2709.212000	43347.392000	-nan	-nan
21	3551.077000	58912.367972	-nan	-nan
22	1946.236000	33397.409463	-nan	-nan
23	2128.885000	37702.551401	-nan	-nan
24	3015.503000	55002.774030	-nan	-nan
25	2432.356000	45606.675000	-nan	-nan
26	2318.095000	44600.147269	-nan	-nan
27	2039.428000	40197.124013	-nan	-nan
28	2319.542000	46761.966366	-nan	-nan
29	2109.023000	43424.783892	-nan	-nan
30	1509.022000	31689.462000	-nan	-nan
31	1409.162000	30141.974320	-nan	-nan
32	2005.128000	43631.585739	-nan	-nan
33	1800.894000	39817.767439	-nan	-nan
34	2382.510000	53463.525672	-nan	-nan
35	2159.195000	49121.686250	-nan	-nan
36	1608.843000	37067.744193	-nan	-nan
37	2152.589000	50176.848440	-nan	-nan
38	2762.108000	65075.263005	-nan	-nan
39	2193.593000	52185.579478	-nan	-nan
40	1319.365000	31664.760000	-nan	-nan
41	1451.624000	35114.785335	-nan	-nan
42	2035.609000	49587.436482	-nan	-nan
43	2195.840000	53820.038903	-nan	-nan
44	1616.886000	39840.070053	-nan	-nan
45	2307.860000	57119.535000	-nan	-nan
46	1537.740000	38197.461835	-nan	-nan
47	1722.265000	42901.620887	-nan	-nan
48	1894.476000	47286.119226	-nan	-nan
49	1921.956000	48029.680000	-nan	-nan
50	774.407000	38720.350000	-nan	-nan
