TMRCA	Mean  = nan	Stdev = nan	95%CI = nan nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	122118.528000	120897.343885	-nan	-nan
2	63128.664000	123732.183848	-nan	-nan
3	42415.312000	123428.561561	-nan	-nan
4	34723.856000	133339.604060	-nan	-nan
5	29526.000000	140248.500000	-nan	-nan
6	24680.076000	139195.625345	-nan	-nan
7	20376.212000	132649.144784	-nan	-nan
8	18125.828000	133406.096500	-nan	-nan
9	19635.216000	160812.410801	-nan	-nan
10	16481.167000	148330.503000	-nan	-nan
11	13890.523000	135988.219640	-nan	-nan
12	16235.680000	171448.787613	-nan	-nan
13	9832.832000	111209.334046	-nan	-nan
14	12967.558000	156129.397825	-nan	-nan
15	10362.240000	132118.560000	-nan	-nan
16	12310.259000	165449.875794	-nan	-nan
17	10833.550000	152861.386781	-nan	-nan
18	9048.334000	133553.411911	-nan	-nan
19	10159.904000	156360.926048	-nan	-nan
20	7597.425000	121558.800000	-nan	-nan
21	9772.173000	162120.351561	-nan	-nan
22	9870.412000	169376.268414	-nan	-nan
23	10790.225000	191094.874871	-nan	-nan
24	10227.651000	186552.351899	-nan	-nan
25	9083.988000	170324.775000	-nan	-nan
26	9832.045000	189168.543550	-nan	-nan
27	6015.576000	118566.997453	-nan	-nan
28	6580.725000	132667.414996	-nan	-nan
29	5563.178000	114545.835869	-nan	-nan
30	7158.705000	150332.805000	-nan	-nan
31	8523.956000	182327.413637	-nan	-nan
32	6952.453000	151285.378871	-nan	-nan
33	6392.301000	141333.779012	-nan	-nan
34	6734.179000	151114.980356	-nan	-nan
35	5408.525000	123043.943750	-nan	-nan
36	7165.144000	165084.924320	-nan	-nan
37	5555.509000	129498.911823	-nan	-nan
38	4553.691000	107284.957528	-nan	-nan
39	7652.628000	182056.027126	-nan	-nan
40	4651.761000	111642.264000	-nan	-nan
41	4598.748000	111243.716576	-nan	-nan
42	5658.724000	137846.520094	-nan	-nan
43	7928.720000	194332.929015	-nan	-nan
44	5414.836000	133421.555735	-nan	-nan
45	7337.012000	181591.047000	-nan	-nan
46	4913.052000	122040.212430	-nan	-nan
47	5562.198000	138554.351331	-nan	-nan
48	5136.206000	128199.697058	-nan	-nan
49	8621.843000	215459.854597	-nan	-nan
50	2475.786000	123789.300000	-nan	-nan
