TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.700466 nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	67675.064000	66998.314005	-nan	-nan
2	36098.824000	70753.696417	-nan	-nan
3	23414.256000	68135.486970	-nan	-nan
4	19653.756000	75470.421353	-nan	-nan
5	13639.683000	64788.494250	-nan	-nan
6	12344.699000	69624.100712	-nan	-nan
7	10609.876000	69070.295188	-nan	-nan
8	9459.438000	69621.464943	-nan	-nan
9	6008.009000	49205.591189	-nan	-nan
10	7688.932000	69200.388000	-nan	-nan
11	11021.060000	107896.176980	-nan	-nan
12	7305.102000	77141.880185	-nan	-nan
13	4187.438000	47359.925537	-nan	-nan
14	6185.714000	74475.996324	-nan	-nan
15	5907.469000	75320.229750	-nan	-nan
16	9208.759000	123765.717096	-nan	-nan
17	5565.033000	78522.613719	-nan	-nan
18	4327.619000	63875.657431	-nan	-nan
19	6767.907000	104158.091054	-nan	-nan
20	6040.805000	96652.880000	-nan	-nan
21	4382.751000	72709.839759	-nan	-nan
22	4281.735000	73474.571947	-nan	-nan
23	4892.770000	86650.952221	-nan	-nan
24	4182.912000	76296.313923	-nan	-nan
25	2734.032000	51263.100000	-nan	-nan
26	4406.558000	84782.174911	-nan	-nan
27	3852.391000	75930.623083	-nan	-nan
28	3411.722000	68780.314999	-nan	-nan
29	4663.135000	96013.950362	-nan	-nan
30	2431.698000	51065.658000	-nan	-nan
31	1985.940000	42479.255388	-nan	-nan
32	3809.038000	82884.667752	-nan	-nan
33	5108.504000	112949.026558	-nan	-nan
34	5451.567000	122333.166391	-nan	-nan
35	3070.065000	69843.978750	-nan	-nan
36	3377.758000	77823.547412	-nan	-nan
37	2553.188000	59514.810916	-nan	-nan
38	3857.704000	90887.504180	-nan	-nan
39	2683.238000	63834.234477	-nan	-nan
40	2608.372000	62600.928000	-nan	-nan
41	1767.664000	42759.793104	-nan	-nan
42	2727.119000	66432.620505	-nan	-nan
43	2825.449000	69251.755637	-nan	-nan
44	3532.514000	87041.142804	-nan	-nan
45	2881.304000	71312.274000	-nan	-nan
46	3897.867000	96823.016875	-nan	-nan
47	3699.489000	92154.270426	-nan	-nan
48	4859.469000	121292.341791	-nan	-nan
49	2589.806000	64719.251347	-nan	-nan
50	834.240000	41712.000000	-nan	-nan
