TMRCA	Mean  = 1.169040	Stdev = 0.398337	95%CI = 0.520084 2.040850
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	228.548000	226.262522	231.701223	229.384215
2	109.746000	215.102164	120.894329	236.952891
3	71.574000	208.280346	75.548921	219.847367
4	53.341000	204.829435	73.984808	284.101659
5	40.350000	191.662500	32.646244	155.069661
6	34.572000	194.986075	33.936182	191.400066
7	28.438000	185.131387	28.203361	183.603891
8	27.161000	199.904964	34.300577	252.452253
9	21.345000	174.815541	27.995781	229.285437
10	20.231000	182.079000	26.920594	242.285342
11	17.708000	173.361319	27.968428	273.810912
12	16.711000	176.468167	26.544040	280.305077
13	14.699000	166.245696	26.866228	303.857044
14	13.766000	165.742639	24.849804	299.191633
15	13.333000	169.995750	26.247076	334.650224
16	12.876000	173.053435	24.705971	332.048243
17	12.274000	173.186136	24.030864	339.075474
18	11.424000	168.618243	25.009512	369.140404
19	9.676000	148.913643	23.213528	357.256208
20	9.616000	153.856000	22.160226	354.563617
21	8.749000	145.145911	23.450158	389.038134
22	8.884000	152.449439	23.698949	406.673970
23	8.285000	146.727342	22.667854	401.447678
24	7.274000	132.677758	19.188672	350.001376
25	7.324000	137.325000	19.316370	362.181936
26	6.209000	119.461159	17.372424	334.245432
27	8.277000	163.139662	24.407007	481.062082
28	7.688000	154.990079	22.390534	451.393155
29	7.896000	162.578641	23.712897	488.248561
30	7.193000	151.053000	24.569155	515.952262
31	5.856000	125.259836	20.373324	435.785391
32	4.597000	100.030721	17.736323	385.942405
33	5.815000	128.569654	19.182042	424.114948
34	7.837000	175.862284	22.184287	497.815402
35	6.133000	139.525750	18.324276	416.877278
36	5.500000	126.720005	18.367072	423.177354
37	7.311000	170.419406	23.425136	546.039919
38	6.099000	143.692437	21.270864	501.141528
39	6.030000	143.453706	20.916228	497.597093
40	4.393000	105.432000	16.854989	404.519727
41	4.901000	118.555193	17.277028	417.931316
42	5.706000	138.998163	18.414523	448.577784
43	6.249000	153.162991	22.274001	545.935775
44	5.606000	138.131837	20.241850	498.759178
45	5.346000	132.313500	19.630630	485.858100
46	6.287000	156.169081	22.613492	561.719146
47	4.913000	122.382829	18.013270	448.710571
48	4.592000	114.616316	18.650184	465.508566
49	5.055000	126.324449	19.953198	498.630399
50	4.365000	218.250000	27.250217	1362.510871
