TMRCA	Mean  = 4.415217	Stdev = 5.872353	95%CI = 0.819995 17.946351
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	45652.264000	45195.741795	-nan	-nan
2	24325.428000	47677.839808	-nan	-nan
3	20435.684000	59467.842194	-nan	-nan
4	13737.516000	52752.060261	-nan	-nan
5	10806.795000	51332.276250	-nan	-nan
6	11898.466000	67107.346651	-nan	-nan
7	8366.668000	54467.010595	-nan	-nan
8	8322.718000	61255.205591	-nan	-nan
9	7445.202000	60976.201256	-nan	-nan
10	6217.107000	55953.963000	-nan	-nan
11	5586.903000	54695.780157	-nan	-nan
12	9562.627000	100981.345133	-nan	-nan
13	5326.815000	60246.279885	-nan	-nan
14	6073.823000	73128.828688	-nan	-nan
15	6468.287000	82470.659250	-nan	-nan
16	5783.208000	77726.313093	-nan	-nan
17	5524.092000	77944.936223	-nan	-nan
18	4466.926000	65931.828782	-nan	-nan
19	4070.634000	62647.058658	-nan	-nan
20	3712.440000	59399.040000	-nan	-nan
21	3042.714000	50478.625724	-nan	-nan
22	3700.328000	63497.627915	-nan	-nan
23	4744.706000	84028.738916	-nan	-nan
24	3663.770000	66827.163961	-nan	-nan
25	5753.614000	107880.262500	-nan	-nan
26	3149.894000	60603.959839	-nan	-nan
27	4818.220000	94967.111789	-nan	-nan
28	4006.653000	80774.123869	-nan	-nan
29	3690.817000	75993.922593	-nan	-nan
30	4555.197000	95659.137000	-nan	-nan
31	5352.147000	114482.421063	-nan	-nan
32	3681.651000	80112.726603	-nan	-nan
33	7331.009000	162088.613464	-nan	-nan
34	4877.807000	109457.991685	-nan	-nan
35	4427.663000	100729.333250	-nan	-nan
36	3128.927000	72090.480945	-nan	-nan
37	2536.892000	59134.951165	-nan	-nan
38	4235.609000	99790.945778	-nan	-nan
39	2948.717000	70149.980130	-nan	-nan
40	1934.922000	46438.128000	-nan	-nan
41	5923.513000	143289.782633	-nan	-nan
42	4322.202000	105288.843358	-nan	-nan
43	2937.666000	72002.194332	-nan	-nan
44	7750.252000	190966.204550	-nan	-nan
45	2953.982000	73111.054500	-nan	-nan
46	3415.127000	84831.755201	-nan	-nan
47	3431.921000	85489.151586	-nan	-nan
48	5452.041000	136082.938369	-nan	-nan
49	3824.262000	95568.306505	-nan	-nan
50	751.891000	37594.550000	-nan	-nan
