TMRCA	Mean  = 0.859713	Stdev = 0.164898	95%CI = 0.500517 1.095922
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	229614.464000	227318.321550	-nan	-nan
2	110279.096000	216147.032367	-nan	-nan
3	70079.976000	203932.736175	-nan	-nan
4	51387.132000	197326.582469	-nan	-nan
5	39122.488000	185831.818000	-nan	-nan
6	31879.284000	179799.157504	-nan	-nan
7	28022.800000	182428.434414	-nan	-nan
8	23870.308000	175685.470067	-nan	-nan
9	19672.976000	161121.665185	-nan	-nan
10	17617.510000	158557.590000	-nan	-nan
11	15835.730000	155031.796096	-nan	-nan
12	13631.704000	143950.799960	-nan	-nan
13	14019.583000	158561.489613	-nan	-nan
14	12356.281000	148769.622769	-nan	-nan
15	9713.921000	123852.492750	-nan	-nan
16	9841.596000	132271.046110	-nan	-nan
17	9409.256000	132764.598930	-nan	-nan
18	9356.337000	138099.536261	-nan	-nan
19	9270.231000	142668.858273	-nan	-nan
20	8323.352000	133173.632000	-nan	-nan
21	7391.875000	122631.207378	-nan	-nan
22	7717.881000	132438.836782	-nan	-nan
23	6399.934000	113342.825281	-nan	-nan
24	6635.680000	121034.801681	-nan	-nan
25	6372.727000	119488.631250	-nan	-nan
26	5620.533000	108139.053634	-nan	-nan
27	6299.291000	124159.019843	-nan	-nan
28	5170.386000	104234.980971	-nan	-nan
29	6083.407000	125257.351058	-nan	-nan
30	4454.478000	93544.038000	-nan	-nan
31	4626.618000	98963.356196	-nan	-nan
32	4688.973000	102032.053553	-nan	-nan
33	4758.353000	105207.187734	-nan	-nan
34	4851.626000	108870.490031	-nan	-nan
35	3528.456000	80272.374000	-nan	-nan
36	4228.671000	97428.583711	-nan	-nan
37	3778.469000	88076.110372	-nan	-nan
38	4541.579000	106999.598815	-nan	-nan
39	4841.532000	115180.050713	-nan	-nan
40	3531.840000	84764.160000	-nan	-nan
41	4001.538000	96797.206357	-nan	-nan
42	3552.079000	86528.646608	-nan	-nan
43	3642.123000	89268.435564	-nan	-nan
44	2950.174000	72692.285559	-nan	-nan
45	4274.620000	105796.845000	-nan	-nan
46	3438.900000	85422.276525	-nan	-nan
47	4733.000000	117899.029278	-nan	-nan
48	3074.259000	76733.501825	-nan	-nan
49	3741.127000	93490.762874	-nan	-nan
50	1695.872000	84793.600000	-nan	-nan
