TMRCA	Mean  = 2.326674	Stdev = 1.547937	95%CI = 0.736766 6.129720
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	42986.032000	42556.172090	-nan	-nan
2	21518.044000	42175.367061	-nan	-nan
3	14209.952000	41350.961540	-nan	-nan
4	11183.729000	42945.518400	-nan	-nan
5	10020.787000	47598.738250	-nan	-nan
6	7976.601000	44988.028575	-nan	-nan
7	7046.172000	45870.581333	-nan	-nan
8	5948.987000	43784.545114	-nan	-nan
9	5545.013000	45413.654143	-nan	-nan
10	5671.590000	51044.310000	-nan	-nan
11	4072.679000	39871.527255	-nan	-nan
12	3668.783000	38742.350019	-nan	-nan
13	3765.292000	42585.454100	-nan	-nan
14	3946.090000	47510.923449	-nan	-nan
15	3672.717000	46827.141750	-nan	-nan
16	3560.661000	47855.282346	-nan	-nan
17	3442.912000	48579.487138	-nan	-nan
18	3143.218000	46393.898399	-nan	-nan
19	2840.706000	43718.466315	-nan	-nan
20	3296.754000	52748.064000	-nan	-nan
21	2820.837000	46797.686260	-nan	-nan
22	2040.365000	35012.663089	-nan	-nan
23	2460.076000	43567.943708	-nan	-nan
24	3134.717000	57177.237363	-nan	-nan
25	2583.840000	48447.000000	-nan	-nan
26	2612.731000	50268.943842	-nan	-nan
27	2043.338000	40274.190109	-nan	-nan
28	1746.214000	35203.673974	-nan	-nan
29	1582.481000	32583.284031	-nan	-nan
30	2059.562000	43250.802000	-nan	-nan
31	2463.892000	52702.648376	-nan	-nan
32	1929.232000	41980.088762	-nan	-nan
33	2409.097000	53265.136140	-nan	-nan
34	1738.157000	39004.244008	-nan	-nan
35	2176.408000	49513.282000	-nan	-nan
36	1336.269000	30787.638983	-nan	-nan
37	1910.055000	44523.381030	-nan	-nan
38	1995.225000	47007.499934	-nan	-nan
39	2226.994000	52980.189299	-nan	-nan
40	2019.973000	48479.352000	-nan	-nan
41	2287.839000	55342.826632	-nan	-nan
42	2605.320000	63465.596790	-nan	-nan
43	2117.059000	51889.116575	-nan	-nan
44	2096.348000	51654.013440	-nan	-nan
45	2171.452000	53743.437000	-nan	-nan
46	2315.865000	57526.086953	-nan	-nan
47	1993.004000	49645.729336	-nan	-nan
48	2265.596000	56549.274086	-nan	-nan
49	2098.975000	52453.384770	-nan	-nan
50	1202.898000	60144.900000	-nan	-nan
