TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.381670 9.284113
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	25662.558000	25405.932665	-nan	-nan
2	14453.678000	28329.209431	-nan	-nan
3	9888.638000	28775.937429	-nan	-nan
4	7399.276000	28413.219205	-nan	-nan
5	5359.983000	25459.919250	-nan	-nan
6	4651.744000	26235.835539	-nan	-nan
7	3928.819000	25576.612589	-nan	-nan
8	3478.693000	25603.180944	-nan	-nan
9	3198.508000	26195.779178	-nan	-nan
10	2892.727000	26034.543000	-nan	-nan
11	3269.979000	32013.094285	-nan	-nan
12	2616.070000	27625.700298	-nan	-nan
13	2443.557000	27636.630695	-nan	-nan
14	2066.344000	24878.781681	-nan	-nan
15	3355.302000	42780.100500	-nan	-nan
16	2256.010000	30320.773453	-nan	-nan
17	2934.403000	41404.425323	-nan	-nan
18	1953.049000	28827.003687	-nan	-nan
19	1860.798000	28637.681859	-nan	-nan
20	1559.612000	24953.792000	-nan	-nan
21	2136.378000	35442.511346	-nan	-nan
22	1947.914000	33426.203943	-nan	-nan
23	1587.224000	28109.735587	-nan	-nan
24	2162.396000	39442.102545	-nan	-nan
25	1491.822000	27971.662500	-nan	-nan
26	1806.483000	34756.732507	-nan	-nan
27	2416.553000	47630.257418	-nan	-nan
28	1866.316000	37624.930275	-nan	-nan
29	1903.143000	39185.714660	-nan	-nan
30	1594.653000	33487.713000	-nan	-nan
31	1018.237000	21780.088809	-nan	-nan
32	1729.563000	37635.291276	-nan	-nan
33	1418.599000	31365.224756	-nan	-nan
34	1716.078000	38508.791236	-nan	-nan
35	1385.732000	31525.403000	-nan	-nan
36	1627.605000	37500.020690	-nan	-nan
37	1245.438000	29031.159115	-nan	-nan
38	935.948000	22050.934380	-nan	-nan
39	1113.779000	26496.803430	-nan	-nan
40	1426.506000	34236.144000	-nan	-nan
41	1382.394000	33440.111598	-nan	-nan
42	1489.985000	36296.035509	-nan	-nan
43	1482.536000	36336.957699	-nan	-nan
44	2083.204000	51330.145289	-nan	-nan
45	1013.814000	25091.896500	-nan	-nan
46	1477.106000	36691.313265	-nan	-nan
47	1337.118000	33307.609176	-nan	-nan
48	1041.201000	25988.376007	-nan	-nan
49	1556.086000	38886.588784	-nan	-nan
50	742.192000	37109.600000	-nan	-nan
