TMRCA	Mean  = nan	Stdev = nan	95%CI = nan nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	5995.707000	5935.749987	-nan	-nan
2	3144.710000	6163.631720	-nan	-nan
3	2249.200000	6545.172193	-nan	-nan
4	1581.587000	6073.293944	-nan	-nan
5	1600.210000	7600.997500	-nan	-nan
6	1106.631000	6241.398692	-nan	-nan
7	951.902000	6196.882238	-nan	-nan
8	712.704000	5245.501535	-nan	-nan
9	903.515000	7399.787471	-nan	-nan
10	680.605000	6125.445000	-nan	-nan
11	752.975000	7371.625221	-nan	-nan
12	821.646000	8676.582105	-nan	-nan
13	585.380000	6620.648046	-nan	-nan
14	456.550000	5496.861983	-nan	-nan
15	441.453000	5628.525750	-nan	-nan
16	364.455000	4898.275047	-nan	-nan
17	504.681000	7121.048737	-nan	-nan
18	323.574000	4775.952314	-nan	-nan
19	267.429000	4115.732402	-nan	-nan
20	311.818000	4989.088000	-nan	-nan
21	332.900000	5522.811051	-nan	-nan
22	338.305000	5805.313748	-nan	-nan
23	271.666000	4811.204611	-nan	-nan
24	179.256000	3269.629399	1423.829086	25970.642584
25	415.844000	7797.075000	-nan	-nan
26	330.246000	6353.932964	-nan	-nan
27	230.087000	4535.014559	-nan	-nan
28	182.007000	3669.261092	-nan	-nan
29	647.946000	13341.208239	-nan	-nan
30	192.109000	4034.289000	-nan	-nan
31	222.145000	4751.681414	-nan	-nan
32	515.140000	11209.446518	-nan	-nan
33	225.475000	4985.252388	-nan	-nan
34	134.633000	3021.164592	-nan	-nan
35	409.326000	9312.166500	-nan	-nan
36	180.900000	4167.936166	-nan	-nan
37	200.450000	4672.489393	-nan	-nan
38	245.170000	5776.205069	-nan	-nan
39	288.521000	6863.914854	-nan	-nan
40	176.440000	4234.560000	-nan	-nan
41	102.443000	2478.096225	1261.191139	30508.214384
42	128.286000	3125.047038	1362.719584	33195.849255
43	213.746000	5238.914509	-nan	-nan
44	154.373000	3803.750626	-nan	-nan
45	115.858000	2867.485500	1243.560055	30778.111371
46	195.876000	4865.559870	-nan	-nan
47	354.964000	8842.153186	-nan	-nan
48	401.650000	10025.183632	-nan	-nan
49	112.549000	2812.599484	1231.389794	30772.429998
50	176.194000	8809.700000	-nan	-nan
