TMRCA	Mean  = 2.280016	Stdev = 1.296045	95%CI = 0.518934 5.508552
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	2696.645000	2669.678576	-nan	-nan
2	297.253000	582.615891	352.220218	690.351644
3	137.614000	400.456752	179.498925	522.341888
4	86.477000	332.071673	128.789374	494.551191
5	62.129000	295.112750	104.672460	497.194187
6	51.440000	290.121593	102.693854	579.193329
7	37.551000	244.457019	65.558900	426.788459
8	33.579000	247.141444	61.663183	453.841031
9	31.251000	255.945677	77.667472	636.096576
10	26.670000	240.030000	67.355786	606.202074
11	19.777000	193.616829	46.251340	452.800621
12	19.501000	205.930568	55.900258	590.306753
13	15.323000	173.303136	43.065965	487.076079
14	13.336000	160.565439	34.479994	415.139116
15	14.431000	183.995250	41.542135	529.662222
16	12.628000	169.720315	32.151506	432.116229
17	13.142000	185.433615	44.738097	631.254529
18	12.754000	188.249043	42.182352	622.611525
19	13.621000	209.627195	43.780568	673.782952
20	10.986000	175.776000	51.877095	830.033528
21	11.066000	183.584942	38.632190	640.908051
22	8.462000	145.207919	28.119161	482.524817
23	7.481000	132.488503	32.920957	583.030129
24	8.467000	154.438078	35.906241	654.929844
25	8.373000	156.993750	29.804667	558.837511
26	7.797000	150.014278	25.736514	495.170520
27	7.442000	146.681813	26.571652	523.727240
28	7.371000	148.599359	27.855435	561.565577
29	6.394000	131.652461	27.475692	565.724522
30	6.784000	142.464000	27.623041	580.083854
31	7.732000	165.387475	32.346228	691.885793
32	6.078000	132.257281	29.432230	640.445342
33	5.842000	129.166624	23.925205	528.986297
34	6.700000	150.348004	28.856450	647.538746
35	6.041000	137.432750	30.020102	682.957321
36	5.949000	137.064965	26.450104	609.410406
37	5.494000	128.065137	22.844602	532.507662
38	4.998000	117.752877	28.007435	659.855136
39	5.849000	139.147715	32.188543	765.765487
40	7.776000	186.624000	36.476436	875.434454
41	8.619000	208.493615	41.834435	1011.975009
42	6.823000	166.208284	37.304172	908.729643
43	6.305000	154.535551	30.759618	753.918257
44	3.752000	92.449278	16.829787	414.685949
45	4.351000	107.687250	20.024854	495.615146
46	5.537000	137.539081	24.622000	611.610492
47	5.552000	138.300319	30.161515	751.323360
48	4.842000	120.856316	25.677078	640.899835
49	5.550000	138.694499	26.688645	666.949223
50	2.346000	117.300000	16.961721	848.086057
