TMRCA	Mean  = 28.023807	Stdev = 182.572480	95%CI = 0.957928 180.338251
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	78826.432000	78038.168432	-nan	-nan
2	25340.362000	49667.110487	-nan	-nan
3	23780.452000	69201.117361	-nan	-nan
4	22005.968000	84502.915231	-nan	-nan
5	65733.040000	312231.940000	-nan	-nan
6	21184.980000	119483.284372	-nan	-nan
7	13215.761000	86034.607135	-nan	-nan
8	8270.838000	60873.368784	-nan	-nan
9	51046.600000	418071.632580	-nan	-nan
10	22267.176000	200404.584000	-nan	-nan
11	31136.372000	304825.080692	-nan	-nan
12	16083.106000	169837.606109	-nan	-nan
13	21628.140000	244614.272476	-nan	-nan
14	15234.756000	183426.461659	-nan	-nan
15	16160.589000	206047.509750	-nan	-nan
16	19367.636000	260301.019713	-nan	-nan
17	58983.848000	832262.075030	-nan	-nan
18	7556.238000	111530.074609	-nan	-nan
19	9573.168000	147331.058807	-nan	-nan
20	11070.515000	177128.240000	-nan	-nan
21	19089.420000	316693.480713	-nan	-nan
22	10414.231000	178708.202371	-nan	-nan
23	9231.168000	163483.976829	-nan	-nan
24	8365.207000	152581.373765	-nan	-nan
25	8847.324000	165887.325000	-nan	-nan
26	7839.063000	150823.570326	-nan	-nan
27	84030.672000	1656244.468188	-nan	-nan
28	9895.406000	199491.383450	-nan	-nan
29	14885.147000	306485.179001	-nan	-nan
30	8566.708000	179900.868000	-nan	-nan
31	18522.776000	396202.167335	-nan	-nan
32	15128.465000	329195.401863	-nan	-nan
33	34686.104000	766909.780611	-nan	-nan
34	54324.736000	1219047.104853	-nan	-nan
35	8381.445000	190677.873750	-nan	-nan
36	42353.936000	975834.724216	-nan	-nan
37	218784.800000	5099873.571156	-nan	-nan
38	10484.711000	247019.785561	-nan	-nan
39	13772.669000	327651.808119	-nan	-nan
40	4320.336000	103688.064000	-nan	-nan
41	16644.080000	402620.304089	-nan	-nan
42	55313.592000	1347439.134881	-nan	-nan
43	4582.093000	112307.100479	-nan	-nan
44	51692.384000	1273700.310209	-nan	-nan
45	10024.350000	248102.662500	-nan	-nan
46	10415.387000	258718.214669	-nan	-nan
47	9324.741000	232279.296887	-nan	-nan
48	5710.215000	142526.961172	-nan	-nan
49	16182.675000	404405.044546	-nan	-nan
50	5409.950000	270497.500000	-nan	-nan
