TMRCA	Mean  = 1.444231	Stdev = 0.508634	95%CI = 0.617885 2.578352
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	40715.436000	40308.282028	-nan	-nan
2	19681.592000	38575.921071	-nan	-nan
3	13020.110000	37888.521218	-nan	-nan
4	10009.888000	38437.969061	-nan	-nan
5	7836.720000	37224.420000	-nan	-nan
6	6606.497000	37260.642198	-nan	-nan
7	5427.488000	35332.948122	-nan	-nan
8	4698.912000	34583.992947	-nan	-nan
9	4492.048000	36789.871235	-nan	-nan
10	4141.716000	37275.444000	-nan	-nan
11	3609.180000	35333.872062	-nan	-nan
12	3289.253000	34734.513060	-nan	-nan
13	3109.555000	35169.068355	-nan	-nan
14	3061.862000	36864.818363	-nan	-nan
15	2600.349000	33154.449750	-nan	-nan
16	2320.846000	31192.169266	-nan	-nan
17	2692.640000	37993.149476	-nan	-nan
18	2355.009000	34759.933379	-nan	-nan
19	2037.937000	31363.851130	-nan	-nan
20	1762.627000	28202.032000	-nan	-nan
21	2019.557000	33504.450938	-nan	-nan
22	1895.491000	32526.625271	-nan	-nan
23	2386.901000	42272.014525	-nan	-nan
24	1781.065000	32486.625192	-nan	-nan
25	1840.619000	34511.606250	-nan	-nan
26	1707.780000	32857.686809	-nan	-nan
27	1298.899000	25601.298101	-nan	-nan
28	1291.895000	26044.603003	-nan	-nan
29	1929.243000	39723.113664	-nan	-nan
30	1796.787000	37732.527000	-nan	-nan
31	1313.392000	28093.454078	-nan	-nan
32	1285.905000	27981.293094	-nan	-nan
33	1275.053000	28191.422608	-nan	-nan
34	1297.334000	29112.175653	-nan	-nan
35	1063.396000	24192.259000	-nan	-nan
36	1260.561000	29043.326594	-nan	-nan
37	1366.656000	31856.750630	-nan	-nan
38	1347.014000	31735.649121	-nan	-nan
39	1221.425000	29057.701868	-nan	-nan
40	1034.358000	24824.592000	-nan	-nan
41	994.402000	24054.584911	-nan	-nan
42	1178.897000	28717.931640	-nan	-nan
43	810.214000	19858.345325	-nan	-nan
44	1154.099000	28436.998656	-nan	-nan
45	1182.790000	29274.052500	-nan	-nan
46	1514.396000	37617.596871	-nan	-nan
47	1131.966000	28197.272887	-nan	-nan
48	1106.204000	27610.850827	-nan	-nan
49	1220.231000	30493.572411	-nan	-nan
50	389.223000	19461.150000	-nan	-nan
