/* Perform simulations to get Freq and theta spectrum (Oct 08)
/*    Population:
/*      * theta = 2	(2.N.mu ; here E[T2]=Theta/2)
/*      * ploidy = 1 
/*    Sample:
/*      * n     = 20 loci
/*    Iterations:
/*      * rep   = 4 iterations
/*    seed random generator:
/*      * seed  = 1515077183

TMRCA	Mean  = 1.254095	Stdev = 0.163133	95%CI = 1.530137 0.000000
i	E[Xi]     	E[Th_i]      	Stdev[Xi]     	Stdev[Th_i]
1	1.250000	1.250000	0.957427	0.957427
2	0.750000	1.500000	0.957427	1.914854
3	0.500000	1.500000	1.000000	3.000000
4	0.750000	3.000000	0.957427	3.829708
5	0.000000	0.000000	0.000000	0.000000
6	0.250000	1.500000	0.500000	3.000000
7	0.250000	1.750000	0.500000	3.500000
8	0.250000	2.000000	0.500000	4.000000
9	0.250000	2.250000	0.500000	4.500000
10	0.000000	0.000000	0.000000	0.000000
11	0.000000	0.000000	0.000000	0.000000
12	0.500000	6.000000	0.577350	6.928203
13	0.250000	3.250000	0.500000	6.500000
14	0.250000	3.500000	0.500000	7.000000
15	0.000000	0.000000	0.000000	0.000000
16	0.000000	0.000000	0.000000	0.000000
17	0.000000	0.000000	0.000000	0.000000
18	0.000000	0.000000	0.000000	0.000000
19	0.000000	0.000000	0.000000	0.000000


(((((n[54]:0.0929928724,(n[48]:0.0676414225,n[43]:0.0676414225):0.0253514500):0.1502113396,n[47]:0.2432042121):0.4093328987,n[53]:0.6525371107):0.1823825417,((((n[55]:0.0030433903,n[45]:0.0030433903):0.0494686747,n[57]:0.0525120650):0.0249373260,n[46]:0.0774493910):0.3187641089,(n[58]:0.1638393242,n[49]:0.1638393242):0.2323741758):0.4387061525):0.4191754960,(((n[40]:0.0255812077,(n[56]:0.0169235442,n[44]:0.0169235442):0.0086576635):0.0020659695,(n[50]:0.0109503290,n[52]:0.0109503290):0.0166968482):0.1858026399,((n[42]:0.0417985107,n[51]:0.0417985107):0.0716056733,(n[39]:0.0348417381,n[41]:0.0348417381):0.0785624458):0.1000456332):1.0406453313);
